IoU,IoU_bg,Precision,Recall,F1,Accuracy,TP,FP,FN,TN
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.03863636363548554,0.88033946251519,0.809523809138322,0.03899082568717911,0.07439824857289237,0.8809121621596822,17,4,419,3112
0.0,0.9999999999969438,0.0,0.0,0.0,0.9999999999969438,0,0,0,3272
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999973636,0.0,0.0,0.0,0.9999999999973636,0,0,0,3793
0.0,0.9999999999940968,0.0,0.0,0.0,0.9999999999940968,0,0,0,1694
0.0,0.9892868074655976,0.0,0.0,0.0,0.9892868074655976,0,8,27,3232
0.0,0.9934082031225747,0.0,0.0,0.0,0.9934082031225747,0,0,27,4069
0.0,0.9399414062477053,0.0,0.0,0.0,0.9399414062477053,0,0,246,3850
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.997802734372564,0.0,0.0,0.0,0.997802734372564,0,0,9,4087
0.0,0.9538574218726713,0.0,0.0,0.0,0.9538574218726713,0,0,189,3907
0.0,0.9846191406225961,0.0,0.0,0.0,0.9846191406225961,0,0,63,4033
0.0,0.9853515624975944,0.0,0.0,0.0,0.9853515624975944,0,0,60,4036
0.058823529410528916,0.8898721730558263,0.08115942028750263,0.1761006289197421,0.11111110678768285,0.8906249999978256,28,317,131,3620
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9956054687475694,0.0,0.0,0.0,0.9956054687475694,0,0,18,4078
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9860839843725926,0.0,0.0,0.0,0.9860839843725926,0,0,57,4039
0.0,0.9860839843725926,0.0,0.0,0.0,0.9860839843725926,0,0,57,4039
0.0,0.9985351562475622,0.0,0.0,0.0,0.9985351562475622,0,0,6,4090
0.0,0.9999999999975,0.0,0.0,0.0,0.9999999999975,0,0,0,4000
0.0,0.9985351562475622,0.0,0.0,0.0,0.9985351562475622,0,0,6,4090
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.8923339843728215,0.0,0.0,0.0,0.8923339843728215,0,0,441,3655
0.0,0.9836425781225986,0.0,0.0,0.0,0.9836425781225986,0,0,67,4029
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9934082031225747,0.0,0.0,0.0,0.9934082031225747,0,0,27,4069
0.0,0.9846191406225961,0.0,0.0,0.0,0.9846191406225961,0,0,63,4033
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.99121093749758,0.0,0.0,0.0,0.99121093749758,0,0,36,4060
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.004184100418234975,0.9418803418780418,0.011904761903344671,0.006410256409845496,0.008333328782641373,0.9418945312477005,1,83,155,3857
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9897460937475836,0.0,0.0,0.0,0.9897460937475836,0,0,42,4054
0.0,0.997802734372564,0.0,0.0,0.0,0.997802734372564,0,0,9,4087
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999960983,0.0,0.0,0.0,0.9999999999960983,0,0,0,2563
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.997802734372564,0.0,0.0,0.0,0.997802734372564,0,0,9,4087
0.0,0.9707031249976301,0.0,0.0,0.0,0.9707031249976301,0,120,0,3976
0.0,0.9523925781226749,0.0,0.0,0.0,0.9523925781226749,0,0,195,3901
0.0,0.9448242187476933,0.0,0.0,0.0,0.9448242187476933,0,0,226,3870
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9829383886224868,0.0,0.0,0.0,0.9829383886224868,0,0,54,3111
0.0,0.9233022636460099,0.0,0.0,0.0,0.9233022636460099,0,0,288,3467
0.0,0.999999999997104,0.0,0.0,0.0,0.999999999997104,0,0,0,3453
0.0,0.9011230468728,0.0,0.0,0.0,0.9011230468728,0,0,405,3691
0.0,0.9853515624975944,0.0,0.0,0.0,0.9853515624975944,0,0,60,4036
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9868556701005494,0.0,0.0,0.0,0.9868556701005494,0,0,51,3829
0.0,0.9956054687475694,0.0,0.0,0.0,0.9956054687475694,0,0,18,4078
0.06089743589694794,0.7084577114410238,0.08033826638392877,0.20105820105288205,0.11480362129612742,0.7138671874982572,76,870,302,2848
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9956054687475694,0.0,0.0,0.0,0.9956054687475694,0,0,18,4078
0.0,0.978515624997611,0.0,0.0,0.0,0.978515624997611,0,70,18,4008
0.0,0.9999999999972161,0.0,0.0,0.0,0.9999999999972161,0,0,0,3592
0.0,0.9985351562475622,0.0,0.0,0.0,0.9985351562475622,0,0,6,4090
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999974849,0.0,0.0,0.0,0.9999999999974849,0,0,0,3976
0.0,0.9999999999974774,0.0,0.0,0.0,0.9999999999974774,0,0,0,3964
0.0,0.9934082031225747,0.0,0.0,0.0,0.9934082031225747,0,0,27,4069
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9492187499976826,0.0,0.0,0.0,0.9492187499976826,0,208,0,3888
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9934082031225747,0.0,0.0,0.0,0.9934082031225747,0,0,27,4069
0.0,0.9999999999927326,0.0,0.0,0.0,0.9999999999927326,0,0,0,1376
